description,category,person_names,dates,topics,effects,anatomical_terms
"Case overview: Sexual acts between close relatives. Child reported by Melinda Martinez, Zachary Santana Incident occurred on 11 April 2023, 07 July 2021 Topics involved include harmful cultural practices, online child abuse Effects reported: high rate of bleeding, psychological problems.",Incest,Melinda Martinez; Zachary Santana,11 April 2023; 07 July 2021,harmful cultural practices; online child abuse,high rate of bleeding; psychological problems,
"Reported incident: Sexual acts between close relatives. Child reported by Ashley Patton Incident occurred on 18 February 2022, 22 January 2022 Topics involved include drug and substance abuse Effects reported: psychological problems.",Incest,Ashley Patton,18 February 2022; 22 January 2022,drug and substance abuse,psychological problems,
"Reported incident: Girl under 18 who is pregnant. Child reported by Stephen Wells, Jason Stokes Incident occurred on 24 October 2020, 13 March 2024 Topics involved include emotional abuse Effects reported: anxiety.",Child Pregnancy,Stephen Wells; Jason Stokes,24 October 2020; 13 March 2024,emotional abuse,anxiety,
"Narrative: Hazardous, exploitative or inappropriate work for a child. Child reported by John Galloway, Jennifer Newman Incident occurred on 03 April 2021, 15 May 2020 Effects reported: trauma.",Child labor,John Galloway; Jennifer Newman,03 April 2021; 15 May 2020,,trauma,
"Reported incident: Child with impairments affecting daily life. Child reported by Lauren Lawson Incident occurred on 21 September 2020, 18 February 2025 Effects reported: anxiety, infection.",Child with disability,Lauren Lawson,21 September 2020; 18 February 2025,,anxiety; infection,
"Summary: Care and control of a child by law or agreement. Child reported by Nathan Woods Incident occurred on 15 September 2020, 10 October 2021 Topics involved include child labor, drug and substance abuse Effects reported: anxiety, infection.",Custody,Nathan Woods,15 September 2020; 10 October 2021,child labor; drug and substance abuse,anxiety; infection,
"Summary: Marriage or cohabitation with a child. Child reported by Jennifer Welch Incident occurred on 04 October 2022 Effects reported: trauma, psychological problems.",Child marriage,Jennifer Welch,04 October 2022,,trauma; psychological problems,
Summary: Care and control of a child by law or agreement. Child reported by Christopher Conley Incident occurred on 18 November 2020 Topics involved include child labor Effects reported: HIV Affected parts: labia minora.,Custody,Christopher Conley,18 November 2020,child labor,HIV,labia minora
Summary: Child engaged in use or trafficking of drugs. Child reported by Mark Rodriguez Incident occurred on 08 November 2020.,Drug and substance abuse,Mark Rodriguez,08 November 2020,,,
"Reported incident: A child living, begging, or working on the street. Child reported by Joseph Brown, Heather Duncan Incident occurred on 15 December 2024 Topics involved include harmful cultural practices, child marriage Effects reported: anxiety.",Children on the Street,Joseph Brown; Heather Duncan,15 December 2024,harmful cultural practices; child marriage,anxiety,
Narrative: A child under 14 unlawfully or forcibly taken or detained. Child reported by Ashley Garcia Incident occurred on 06 June 2024 Topics involved include Female Genital Mutilation Effects reported: HIV.,Abduction,Ashley Garcia,06 June 2024,Female Genital Mutilation,HIV,
"Summary: Right of a child to be registered at birth. Child reported by Ann Grant, Tanner Boyd Incident occurred on 23 April 2025, 01 September 2021 Topics involved include child marriage Effects reported: psychological problems, infection.",Registration,Ann Grant; Tanner Boyd,23 April 2025; 01 September 2021,child marriage,psychological problems; infection,
"Reported incident: An attempt to penetrate a child. Child reported by Jonathan Aguilar, Richard Nelson Incident occurred on 05 February 2021, 14 April 2023 Topics involved include drug and substance abuse.",Attempted Defilement,Jonathan Aguilar; Richard Nelson,05 February 2021; 14 April 2023,drug and substance abuse,,
"Narrative: Practices like FGM, forced marriage, or virginity testing. Child reported by Heidi Reed Incident occurred on 28 January 2024 Topics involved include harmful cultural practices, emotional abuse Effects reported: HIV Affected parts: clitoris.",Harmful cultural practices,Heidi Reed,28 January 2024,harmful cultural practices; emotional abuse,HIV,clitoris
"Narrative: Child tested positive for HIV. Child reported by Thomas Carter Incident occurred on 06 February 2021 Topics involved include drug and substance abuse, harmful cultural practices Affected parts: labia minora.",Child infected with HIV,Thomas Carter,06 February 2021,drug and substance abuse; harmful cultural practices,,labia minora
"Summary: Non-medical cutting or injury of female genitals. Child reported by Heidi Harris Incident occurred on 21 August 2020, 13 March 2022 Topics involved include Female Genital Mutilation, child marriage Affected parts: reproductive organs.",Female Genital Mutilation (FGM),Heidi Harris,21 August 2020; 13 March 2022,Female Genital Mutilation; child marriage,,reproductive organs
"Summary: A child living, begging, or working on the street. Child reported by Edwin Williams, Jacob Ward Incident occurred on 20 September 2024 Topics involved include child marriage Effects reported: anxiety, high rate of bleeding.",Children on the Street,Edwin Williams; Jacob Ward,20 September 2024,child marriage,anxiety; high rate of bleeding,
"Reported incident: Recruitment or transport of a child for exploitation. Child reported by Karen Adams, Sonia Hawkins Incident occurred on 12 October 2021 Effects reported: infection, trauma.",Child Trafficking,Karen Adams; Sonia Hawkins,12 October 2021,,infection; trauma,
"Summary: Recruitment or transport of a child for exploitation. Child reported by Darryl Alvarez Incident occurred on 14 July 2020, 05 February 2022 Topics involved include Female Genital Mutilation Effects reported: anxiety, infection Affected parts: clitoris.",Child Trafficking,Darryl Alvarez,14 July 2020; 05 February 2022,Female Genital Mutilation,anxiety; infection,clitoris
"Summary: Non-medical cutting or injury of female genitals. Child reported by Kurt Peterson Incident occurred on 25 July 2021 Topics involved include child labor, child marriage Effects reported: HIV, infection Affected parts: labia minora.",Female Genital Mutilation (FGM),Kurt Peterson,25 July 2021,child labor; child marriage,HIV; infection,labia minora
"Summary: Non-medical cutting or injury of female genitals. Child reported by Paul Powell, Dalton Ramsey Incident occurred on 06 September 2022 Topics involved include drug and substance abuse Effects reported: anxiety, trauma.",Female Genital Mutilation (FGM),Paul Powell; Dalton Ramsey,06 September 2022,drug and substance abuse,anxiety; trauma,
"Summary: Infliction or failure to prevent physical harm to a child. Child reported by Erica Smith, Christina Reilly Incident occurred on 19 March 2021 Topics involved include online child abuse, harmful cultural practices Effects reported: high rate of bleeding Affected parts: clitoris.",Physical abuse/violence,Erica Smith; Christina Reilly,19 March 2021,online child abuse; harmful cultural practices,high rate of bleeding,clitoris
"Summary: Non-medical cutting or injury of female genitals. Child reported by Elizabeth Lawrence, Jeffrey Allen Incident occurred on 17 January 2025 Topics involved include emotional abuse, drug and substance abuse.",Female Genital Mutilation (FGM),Elizabeth Lawrence; Jeffrey Allen,17 January 2025,emotional abuse; drug and substance abuse,,
"Narrative: Hazardous, exploitative or inappropriate work for a child. Child reported by Eric Kirk, Anna Chapman Incident occurred on 15 March 2022, 18 June 2020 Effects reported: HIV.",Child labor,Eric Kirk; Anna Chapman,15 March 2022; 18 June 2020,,HIV,
"Case overview: A child under 14 unlawfully or forcibly taken or detained. Child reported by Taylor Huang Incident occurred on 18 April 2023 Topics involved include child marriage, online child abuse.",Abduction,Taylor Huang,18 April 2023,child marriage; online child abuse,,
"Reported incident: Acts harming a child's emotional development. Child reported by Jennifer Fields, Mark Frazier Incident occurred on 24 January 2021 Affected parts: genitals.",Emotional abuse,Jennifer Fields; Mark Frazier,24 January 2021,,,genitals
"Narrative: Sexual acts between close relatives. Child reported by Eric Walker, Anthony Rasmussen Incident occurred on 07 April 2024 Topics involved include emotional abuse, child marriage Effects reported: high rate of bleeding, infection Affected parts: labia majora.",Incest,Eric Walker; Anthony Rasmussen,07 April 2024,emotional abuse; child marriage,high rate of bleeding; infection,labia majora
Case overview: Child tested positive for HIV. Child reported by Joseph White Incident occurred on 12 May 2020 Effects reported: psychological problems Affected parts: reproductive organs.,Child infected with HIV,Joseph White,12 May 2020,,psychological problems,reproductive organs
"Case overview: An attempt to penetrate a child. Child reported by Ashley Crawford, Michael Harrington Incident occurred on 02 November 2022 Effects reported: anxiety, psychological problems.",Attempted Defilement,Ashley Crawford; Michael Harrington,02 November 2022,,anxiety; psychological problems,
"Reported incident: Girl under 18 who is pregnant. Child reported by Kathryn Leon, Timothy Russell Incident occurred on 10 December 2023.",Child Pregnancy,Kathryn Leon; Timothy Russell,10 December 2023,,,
"Case overview: Girl under 18 who is pregnant. Child reported by Dr. Lisa Anderson Incident occurred on 06 February 2022 Topics involved include online child abuse, Female Genital Mutilation Effects reported: anxiety.",Child Pregnancy,Dr. Lisa Anderson,06 February 2022,online child abuse; Female Genital Mutilation,anxiety,
"Case overview: Sexual acts between close relatives. Child reported by Desiree Bailey, Miguel Parker Incident occurred on 20 July 2021 Topics involved include emotional abuse Affected parts: genitals.",Incest,Desiree Bailey; Miguel Parker,20 July 2021,emotional abuse,,genitals
"Case overview: Sexual acts between close relatives. Child reported by Christine Guerrero Incident occurred on 28 November 2024, 22 March 2025 Effects reported: trauma, psychological problems Affected parts: reproductive organs.",Incest,Christine Guerrero,28 November 2024; 22 March 2025,,trauma; psychological problems,reproductive organs
"Summary: Care and control of a child by law or agreement. Child reported by Stephen Cunningham Incident occurred on 07 September 2023, 01 May 2020 Topics involved include child labor, harmful cultural practices Effects reported: infection, psychological problems.",Custody,Stephen Cunningham,07 September 2023; 01 May 2020,child labor; harmful cultural practices,infection; psychological problems,
"Narrative: Right of a child to be registered at birth. Child reported by Jennifer Sanders Incident occurred on 20 July 2020, 12 June 2024 Effects reported: psychological problems.",Registration,Jennifer Sanders,20 July 2020; 12 June 2024,,psychological problems,
"Case overview: Sexual acts between close relatives. Child reported by Joel Carr, Brian Reed Incident occurred on 30 August 2024 Topics involved include Female Genital Mutilation Effects reported: trauma, HIV.",Incest,Joel Carr; Brian Reed,30 August 2024,Female Genital Mutilation,trauma; HIV,
"Reported incident: Non-medical cutting or injury of female genitals. Child reported by Carolyn Sanchez, Amy Barnes Incident occurred on 04 September 2023, 19 January 2023 Topics involved include child marriage Effects reported: high rate of bleeding Affected parts: reproductive organs.",Female Genital Mutilation (FGM),Carolyn Sanchez; Amy Barnes,04 September 2023; 19 January 2023,child marriage,high rate of bleeding,reproductive organs
"Summary: Child engaged in use or trafficking of drugs. Child reported by Cynthia Jenkins Incident occurred on 17 July 2020, 01 May 2020 Effects reported: trauma Affected parts: reproductive organs.",Drug and substance abuse,Cynthia Jenkins,17 July 2020; 01 May 2020,,trauma,reproductive organs
"Narrative: Exploitation of a child’s vulnerability or trust for sexual gain. Child reported by Jonathan Hughes, Morgan Murphy Incident occurred on 18 July 2020 Effects reported: high rate of bleeding Affected parts: clitoris.",Sexual assault and Abuse,Jonathan Hughes; Morgan Murphy,18 July 2020,,high rate of bleeding,clitoris
"Case overview: Recruitment or transport of a child for exploitation. Child reported by Sandra Williams Incident occurred on 14 May 2020 Topics involved include Female Genital Mutilation Effects reported: high rate of bleeding, psychological problems.",Child Trafficking,Sandra Williams,14 May 2020,Female Genital Mutilation,high rate of bleeding; psychological problems,
"Case overview: Infliction or failure to prevent physical harm to a child. Child reported by Brett Wright, Melissa Lopez Incident occurred on 10 September 2022 Topics involved include drug and substance abuse Effects reported: trauma.",Physical abuse/violence,Brett Wright; Melissa Lopez,10 September 2022,drug and substance abuse,trauma,
"Reported incident: Acts harming a child's emotional development. Child reported by Amy Martin Incident occurred on 07 July 2021 Topics involved include harmful cultural practices, emotional abuse Affected parts: clitoris.",Emotional abuse,Amy Martin,07 July 2021,harmful cultural practices; emotional abuse,,clitoris
"Narrative: A child living, begging, or working on the street. Child reported by Jimmy Myers, Derek Hinton Incident occurred on 01 June 2022 Topics involved include online child abuse.",Children on the Street,Jimmy Myers; Derek Hinton,01 June 2022,online child abuse,,
Reported incident: Exploitation of a child’s vulnerability or trust for sexual gain. Child reported by Scott Moore Incident occurred on 21 March 2021 Affected parts: reproductive organs.,Sexual assault and Abuse,Scott Moore,21 March 2021,,,reproductive organs
"Case overview: Right of a child to be registered at birth. Child reported by Kelsey Martin, George Page Incident occurred on 17 August 2020 Affected parts: reproductive organs.",Registration,Kelsey Martin; George Page,17 August 2020,,,reproductive organs
"Reported incident: Practices like FGM, forced marriage, or virginity testing. Child reported by Karen Price Incident occurred on 04 December 2021, 30 January 2023 Topics involved include drug and substance abuse Effects reported: anxiety Affected parts: labia majora.",Harmful cultural practices,Karen Price,04 December 2021; 30 January 2023,drug and substance abuse,anxiety,labia majora
"Narrative: Infliction or failure to prevent physical harm to a child. Child reported by Shawn Price, William Hall Incident occurred on 04 September 2022, 23 September 2021 Topics involved include emotional abuse Affected parts: genitals.",Physical abuse/violence,Shawn Price; William Hall,04 September 2022; 23 September 2021,emotional abuse,,genitals
"Case overview: Child engaged in use or trafficking of drugs. Child reported by Eric King Incident occurred on 30 January 2024, 20 May 2024 Topics involved include online child abuse Effects reported: high rate of bleeding.",Drug and substance abuse,Eric King,30 January 2024; 20 May 2024,online child abuse,high rate of bleeding,
"Reported incident: A child under 14 unlawfully or forcibly taken or detained. Child reported by Aaron Fields Incident occurred on 24 February 2023 Topics involved include Female Genital Mutilation Effects reported: anxiety, HIV Affected parts: labia minora.",Abduction,Aaron Fields,24 February 2023,Female Genital Mutilation,anxiety; HIV,labia minora
"Reported incident: An attempt to penetrate a child. Child reported by Ronald Miller, Dawn Johnson Incident occurred on 19 November 2021 Effects reported: high rate of bleeding Affected parts: genitals.",Attempted Defilement,Ronald Miller; Dawn Johnson,19 November 2021,,high rate of bleeding,genitals
"Case overview: Infliction or failure to prevent physical harm to a child. Child reported by Emily Larson, Leslie Nelson Incident occurred on 10 March 2024 Topics involved include harmful cultural practices, emotional abuse Effects reported: infection Affected parts: genitals.",Physical abuse/violence,Emily Larson; Leslie Nelson,10 March 2024,harmful cultural practices; emotional abuse,infection,genitals
"Summary: A child living, begging, or working on the street. Child reported by Meghan Johnson, Mr. Mark Watson Jr. Incident occurred on 02 March 2025 Topics involved include Female Genital Mutilation, emotional abuse Effects reported: psychological problems Affected parts: labia minora.",Children on the Street,Meghan Johnson; Mr. Mark Watson Jr.,02 March 2025,Female Genital Mutilation; emotional abuse,psychological problems,labia minora
"Narrative: Girl under 18 who is pregnant. Child reported by Kevin Cruz Incident occurred on 16 October 2022, 26 October 2022 Effects reported: psychological problems, HIV Affected parts: clitoris.",Child Pregnancy,Kevin Cruz,16 October 2022; 26 October 2022,,psychological problems; HIV,clitoris
"Narrative: A child deserted by the parent or caregiver or not contacted for 6+ months. Child reported by Robin Johnson, Rhonda Ross Incident occurred on 25 January 2024, 19 October 2022 Effects reported: high rate of bleeding, HIV Affected parts: clitoris.",Abandoned,Robin Johnson; Rhonda Ross,25 January 2024; 19 October 2022,,high rate of bleeding; HIV,clitoris
"Summary: Care and control of a child by law or agreement. Child reported by Michelle Hernandez, Shelby Liu Incident occurred on 03 June 2024 Topics involved include harmful cultural practices, emotional abuse Effects reported: high rate of bleeding Affected parts: reproductive organs.",Custody,Michelle Hernandez; Shelby Liu,03 June 2024,harmful cultural practices; emotional abuse,high rate of bleeding,reproductive organs
"Reported incident: Child with impairments affecting daily life. Child reported by Leonard Morgan Incident occurred on 07 May 2020, 22 February 2025 Topics involved include child marriage Effects reported: high rate of bleeding.",Child with disability,Leonard Morgan,07 May 2020; 22 February 2025,child marriage,high rate of bleeding,
"Summary: Penetration act with a child including sodomy. Child reported by Mary Freeman, Joseph Bender Incident occurred on 22 March 2021 Topics involved include drug and substance abuse.",Defilement,Mary Freeman; Joseph Bender,22 March 2021,drug and substance abuse,,
"Narrative: Exploitation of a child’s vulnerability or trust for sexual gain. Child reported by Justin Bright, Henry Roberson Incident occurred on 28 April 2025 Topics involved include harmful cultural practices, Female Genital Mutilation.",Sexual assault and Abuse,Justin Bright; Henry Roberson,28 April 2025,harmful cultural practices; Female Genital Mutilation,,
"Narrative: Right of a child to be registered at birth. Child reported by David Alvarez Incident occurred on 11 February 2024, 23 March 2022.",Registration,David Alvarez,11 February 2024; 23 March 2022,,,
Narrative: Child tested positive for HIV. Child reported by Amber Schroeder Incident occurred on 20 March 2023 Affected parts: genitals.,Child infected with HIV,Amber Schroeder,20 March 2023,,,genitals
"Case overview: Infliction or failure to prevent physical harm to a child. Child reported by Glenn Smith, Laurie Scott Incident occurred on 07 July 2024, 07 June 2024 Topics involved include drug and substance abuse Affected parts: genitals.",Physical abuse/violence,Glenn Smith; Laurie Scott,07 July 2024; 07 June 2024,drug and substance abuse,,genitals
Summary: Child tested positive for HIV. Child reported by Daniel Meyers Incident occurred on 06 January 2022 Topics involved include Female Genital Mutilation Affected parts: reproductive organs.,Child infected with HIV,Daniel Meyers,06 January 2022,Female Genital Mutilation,,reproductive organs
"Summary: Sexual acts between close relatives. Child reported by Autumn York Incident occurred on 15 September 2024, 11 April 2021 Topics involved include emotional abuse, child labor Effects reported: HIV Affected parts: labia majora.",Incest,Autumn York,15 September 2024; 11 April 2021,emotional abuse; child labor,HIV,labia majora
"Case overview: A child under 14 unlawfully or forcibly taken or detained. Child reported by Mark Bailey, Dennis Zhang Incident occurred on 02 April 2021, 02 January 2025 Topics involved include Female Genital Mutilation Effects reported: psychological problems Affected parts: reproductive organs.",Abduction,Mark Bailey; Dennis Zhang,02 April 2021; 02 January 2025,Female Genital Mutilation,psychological problems,reproductive organs
"Reported incident: Marriage or cohabitation with a child. Child reported by Taylor Garcia Incident occurred on 21 June 2021, 29 June 2021 Effects reported: trauma, psychological problems.",Child marriage,Taylor Garcia,21 June 2021; 29 June 2021,,trauma; psychological problems,
"Summary: Girl under 18 who is pregnant. Child reported by Andrew Callahan Incident occurred on 14 January 2021, 25 May 2021 Topics involved include online child abuse Effects reported: trauma, high rate of bleeding.",Child Pregnancy,Andrew Callahan,14 January 2021; 25 May 2021,online child abuse,trauma; high rate of bleeding,
"Summary: Care and control of a child by law or agreement. Child reported by Jordan Decker, Stephanie Clayton Incident occurred on 23 August 2021, 09 April 2022 Topics involved include Female Genital Mutilation Effects reported: psychological problems, trauma Affected parts: labia minora.",Custody,Jordan Decker; Stephanie Clayton,23 August 2021; 09 April 2022,Female Genital Mutilation,psychological problems; trauma,labia minora
"Case overview: Infliction or failure to prevent physical harm to a child. Child reported by Michael Haynes Incident occurred on 24 November 2020, 31 July 2023 Topics involved include online child abuse Effects reported: anxiety, psychological problems.",Physical abuse/violence,Michael Haynes,24 November 2020; 31 July 2023,online child abuse,anxiety; psychological problems,
"Case overview: Child tested positive for HIV. Child reported by Charlene Reid, Luis Torres Incident occurred on 28 November 2022, 14 July 2021 Effects reported: infection, HIV.",Child infected with HIV,Charlene Reid; Luis Torres,28 November 2022; 14 July 2021,,infection; HIV,
"Summary: An attempt to penetrate a child. Child reported by Kimberly Miller, Aaron Santiago Incident occurred on 04 December 2021, 04 October 2022 Effects reported: HIV Affected parts: clitoris.",Attempted Defilement,Kimberly Miller; Aaron Santiago,04 December 2021; 04 October 2022,,HIV,clitoris
"Summary: Care and control of a child by law or agreement. Child reported by Bryan Rosario, Johnny Mathis Incident occurred on 20 November 2020 Effects reported: HIV Affected parts: labia minora.",Custody,Bryan Rosario; Johnny Mathis,20 November 2020,,HIV,labia minora
"Summary: Exploitation of a child’s vulnerability or trust for sexual gain. Child reported by Jody Robinson, Brianna Pruitt Incident occurred on 22 March 2025 Topics involved include child marriage Affected parts: clitoris.",Sexual assault and Abuse,Jody Robinson; Brianna Pruitt,22 March 2025,child marriage,,clitoris
"Narrative: An attempt to penetrate a child. Child reported by Teresa Wong Incident occurred on 11 May 2021, 27 October 2020 Topics involved include harmful cultural practices Effects reported: psychological problems.",Attempted Defilement,Teresa Wong,11 May 2021; 27 October 2020,harmful cultural practices,psychological problems,
"Summary: Care and control of a child by law or agreement. Child reported by Nathan Tran Incident occurred on 08 April 2025, 14 January 2024 Topics involved include child marriage Affected parts: labia minora.",Custody,Nathan Tran,08 April 2025; 14 January 2024,child marriage,,labia minora
"Reported incident: Recruitment or transport of a child for exploitation. Child reported by Mrs. Kathleen Wright, David Green Incident occurred on 20 January 2025, 08 April 2023 Topics involved include Female Genital Mutilation, child labor.",Child Trafficking,Mrs. Kathleen Wright; David Green,20 January 2025; 08 April 2023,Female Genital Mutilation; child labor,,
"Narrative: An attempt to penetrate a child. Child reported by Sherri Foster Incident occurred on 13 May 2023 Topics involved include drug and substance abuse, child marriage Affected parts: labia majora.",Attempted Defilement,Sherri Foster,13 May 2023,drug and substance abuse; child marriage,,labia majora
"Narrative: An attempt to penetrate a child. Child reported by Kelly Love, Gene Mcclure Incident occurred on 01 November 2023 Effects reported: high rate of bleeding.",Attempted Defilement,Kelly Love; Gene Mcclure,01 November 2023,,high rate of bleeding,
"Summary: Right of a child to be registered at birth. Child reported by Brianna Shaw, Erin Freeman Incident occurred on 24 November 2020 Topics involved include child marriage, online child abuse Effects reported: psychological problems, HIV.",Registration,Brianna Shaw; Erin Freeman,24 November 2020,child marriage; online child abuse,psychological problems; HIV,
"Narrative: Child engaged in use or trafficking of drugs. Child reported by Adam Gaines, Peter Smith Incident occurred on 25 February 2025, 11 October 2021 Topics involved include child labor Affected parts: labia majora.",Drug and substance abuse,Adam Gaines; Peter Smith,25 February 2025; 11 October 2021,child labor,,labia majora
"Reported incident: An attempt to penetrate a child. Child reported by Robert Combs, James Dean Incident occurred on 18 April 2023 Effects reported: high rate of bleeding, anxiety.",Attempted Defilement,Robert Combs; James Dean,18 April 2023,,high rate of bleeding; anxiety,
"Reported incident: Non-medical cutting or injury of female genitals. Child reported by Jason Buchanan, Christina Hicks Incident occurred on 26 June 2020 Topics involved include drug and substance abuse Effects reported: high rate of bleeding.",Female Genital Mutilation (FGM),Jason Buchanan; Christina Hicks,26 June 2020,drug and substance abuse,high rate of bleeding,
"Narrative: Child with impairments affecting daily life. Child reported by David Woods Incident occurred on 13 April 2023, 10 December 2021 Topics involved include harmful cultural practices Effects reported: HIV Affected parts: genitals.",Child with disability,David Woods,13 April 2023; 10 December 2021,harmful cultural practices,HIV,genitals
"Narrative: Penetration act with a child including sodomy. Child reported by Caitlin Burton, Michael Wilson Incident occurred on 30 June 2023, 08 November 2024.",Defilement,Caitlin Burton; Michael Wilson,30 June 2023; 08 November 2024,,,
"Case overview: Girl under 18 who is pregnant. Child reported by Dawn George Incident occurred on 20 October 2023, 03 November 2022 Topics involved include drug and substance abuse, child labor Effects reported: psychological problems Affected parts: labia minora.",Child Pregnancy,Dawn George,20 October 2023; 03 November 2022,drug and substance abuse; child labor,psychological problems,labia minora
"Summary: Girl under 18 who is pregnant. Child reported by Ricky Perez, Melissa Adkins Incident occurred on 28 August 2020 Topics involved include harmful cultural practices Affected parts: genitals.",Child Pregnancy,Ricky Perez; Melissa Adkins,28 August 2020,harmful cultural practices,,genitals
"Narrative: Sexual acts between close relatives. Child reported by Luke Arnold Incident occurred on 10 April 2021, 21 August 2021 Topics involved include Female Genital Mutilation, child labor Affected parts: clitoris.",Incest,Luke Arnold,10 April 2021; 21 August 2021,Female Genital Mutilation; child labor,,clitoris
"Narrative: A child living, begging, or working on the street. Child reported by Angel Harding, Isaiah Park Incident occurred on 13 April 2023, 26 May 2020.",Children on the Street,Angel Harding; Isaiah Park,13 April 2023; 26 May 2020,,,
"Case overview: Girl under 18 who is pregnant. Child reported by Carrie Wilkinson, Patricia Wiggins Incident occurred on 06 July 2023, 08 August 2024 Topics involved include drug and substance abuse Effects reported: trauma, psychological problems Affected parts: genitals.",Child Pregnancy,Carrie Wilkinson; Patricia Wiggins,06 July 2023; 08 August 2024,drug and substance abuse,trauma; psychological problems,genitals
"Summary: An attempt to penetrate a child. Child reported by David Lindsey Incident occurred on 29 January 2024, 25 June 2021 Effects reported: psychological problems.",Attempted Defilement,David Lindsey,29 January 2024; 25 June 2021,,psychological problems,
"Narrative: Care and control of a child by law or agreement. Child reported by Tanya Barnett Incident occurred on 27 April 2021 Topics involved include child marriage, online child abuse Effects reported: anxiety.",Custody,Tanya Barnett,27 April 2021,child marriage; online child abuse,anxiety,
"Case overview: An attempt to penetrate a child. Child reported by David Ortiz Incident occurred on 17 January 2024 Topics involved include child marriage Effects reported: HIV, psychological problems Affected parts: reproductive organs.",Attempted Defilement,David Ortiz,17 January 2024,child marriage,HIV; psychological problems,reproductive organs
"Case overview: Acts harming a child's emotional development. Child reported by Brent Singh DVM, John Davis Incident occurred on 14 August 2021, 04 May 2024 Topics involved include child labor Effects reported: trauma, HIV.",Emotional abuse,Brent Singh DVM; John Davis,14 August 2021; 04 May 2024,child labor,trauma; HIV,
"Case overview: Girl under 18 who is pregnant. Child reported by Jonathan Coffey, Rodney Salazar Incident occurred on 14 June 2023 Topics involved include Female Genital Mutilation.",Child Pregnancy,Jonathan Coffey; Rodney Salazar,14 June 2023,Female Genital Mutilation,,
"Reported incident: A child deserted by the parent or caregiver or not contacted for 6+ months. Child reported by Pamela Carroll, Tracy Patton Incident occurred on 17 October 2022, 14 October 2021 Topics involved include emotional abuse Effects reported: infection Affected parts: labia minora.",Abandoned,Pamela Carroll; Tracy Patton,17 October 2022; 14 October 2021,emotional abuse,infection,labia minora
"Reported incident: A child under 14 unlawfully or forcibly taken or detained. Child reported by Courtney Gonzales, Taylor Robinson Incident occurred on 23 July 2020.",Abduction,Courtney Gonzales; Taylor Robinson,23 July 2020,,,
"Case overview: A child living, begging, or working on the street. Child reported by Anthony Marshall, John Harrison Incident occurred on 07 May 2022, 16 March 2022 Topics involved include emotional abuse, drug and substance abuse Affected parts: labia minora.",Children on the Street,Anthony Marshall; John Harrison,07 May 2022; 16 March 2022,emotional abuse; drug and substance abuse,,labia minora
"Summary: Child engaged in use or trafficking of drugs. Child reported by Carolyn Hicks Incident occurred on 01 February 2023, 13 November 2021 Topics involved include online child abuse Effects reported: trauma, infection Affected parts: reproductive organs.",Drug and substance abuse,Carolyn Hicks,01 February 2023; 13 November 2021,online child abuse,trauma; infection,reproductive organs
"Narrative: Care and control of a child by law or agreement. Child reported by Laura Holloway Incident occurred on 03 June 2022, 11 October 2024 Topics involved include child marriage, emotional abuse Affected parts: labia minora.",Custody,Laura Holloway,03 June 2022; 11 October 2024,child marriage; emotional abuse,,labia minora
"Case overview: Child tested positive for HIV. Child reported by Kelli Hartman Incident occurred on 03 October 2024, 11 March 2023 Topics involved include harmful cultural practices Effects reported: HIV Affected parts: genitals.",Child infected with HIV,Kelli Hartman,03 October 2024; 11 March 2023,harmful cultural practices,HIV,genitals
"Case overview: Penetration act with a child including sodomy. Child reported by Claudia Brown Incident occurred on 13 August 2024, 24 December 2020 Effects reported: anxiety, trauma.",Defilement,Claudia Brown,13 August 2024; 24 December 2020,,anxiety; trauma,
"Reported incident: Right of a child to be registered at birth. Child reported by Gloria Rivera, William Ortiz Incident occurred on 06 January 2024 Topics involved include child marriage, Female Genital Mutilation Effects reported: high rate of bleeding, psychological problems.",Registration,Gloria Rivera; William Ortiz,06 January 2024,child marriage; Female Genital Mutilation,high rate of bleeding; psychological problems,
"Case overview: Sexual acts between close relatives. Child reported by Robert Nelson, Cody Hayes Incident occurred on 17 February 2021 Topics involved include drug and substance abuse, online child abuse Effects reported: trauma, HIV Affected parts: genitals.",Incest,Robert Nelson; Cody Hayes,17 February 2021,drug and substance abuse; online child abuse,trauma; HIV,genitals
"Narrative: An attempt to penetrate a child. Child reported by Nathan Atkins, Jonathan Chang Incident occurred on 22 April 2024 Topics involved include Female Genital Mutilation, child labor Effects reported: infection, trauma Affected parts: clitoris.",Attempted Defilement,Nathan Atkins; Jonathan Chang,22 April 2024,Female Genital Mutilation; child labor,infection; trauma,clitoris
"Narrative: Marriage or cohabitation with a child. Child reported by David Holder, Jamie Boone Incident occurred on 08 July 2022, 27 July 2022 Topics involved include emotional abuse, child labor Effects reported: trauma Affected parts: labia minora.",Child marriage,David Holder; Jamie Boone,08 July 2022; 27 July 2022,emotional abuse; child labor,trauma,labia minora
Case overview: An attempt to penetrate a child. Child reported by Aaron Williams Incident occurred on 06 May 2020.,Attempted Defilement,Aaron Williams,06 May 2020,,,
"Narrative: A child living, begging, or working on the street. Child reported by Juan Page Incident occurred on 06 June 2020 Effects reported: HIV.",Children on the Street,Juan Page,06 June 2020,,HIV,
"Narrative: Child engaged in use or trafficking of drugs. Child reported by Anthony Morrison Incident occurred on 15 September 2020, 15 June 2023 Affected parts: reproductive organs.",Drug and substance abuse,Anthony Morrison,15 September 2020; 15 June 2023,,,reproductive organs
